0,40,0.97,12062.278999 
0,41,1.09,12046.830136 
4,0,1.08,12020.656407 
4,1,1.00,12031.211875 
4,2,0.99,12057.996589 
4,3,0.99,12065.798277 
4,5,1.08,12052.552697 
4,6,1.05,12064.849583 
4,7,0.98,12065.294012 
4,8,1.07,12055.901706 
4,9,1.00,12066.527273 
4,10,1.05,12017.485682 
4,11,0.97,12079.474741 
4,12,1.04,12054.207611 
4,13,1.06,12047.239401 
4,14,1.08,12010.037773 
4,15,0.97,12071.461221 
4,16,0.97,12069.641449 
4,17,0.98,12075.120219 
4,18,1.04,12061.804103 
4,19,0.98,12063.304839 
4,20,1.03,12059.715970 
4,21,1.04,12061.946245 
4,22,0.97,12071.182963 
4,23,1.04,12061.049837 
4,24,0.98,12066.171654 
4,25,0.98,12070.189750 
4,26,0.99,12070.089467 
4,27,0.99,12072.673089 
4,28,0.97,12078.841367 
4,29,1.05,12061.214572 
4,30,0.97,12062.324230 
4,31,1.05,12063.285452 
4,32,0.98,12074.472733 
4,33,0.98,12072.655290 
4,34,0.98,12073.153697 
4,35,0.98,12068.585424 
4,36,1.05,12057.970762 
4,37,1.05,12056.227672 
4,38,0.99,12070.522959 
4,39,1.04,12056.502014 
4,40,0.98,12070.964571 
4,41,0.98,12074.841791 
4,42,1.00,12070.131521 
4,43,0.97,12072.983781 
24,0,1.05,11971.217686 
24,1,0.99,12063.482562 
24,2,0.99,12064.471440 
24,3,0.99,12069.415027 
24,4,1.00,12072.854324 
24,5,1.05,12053.546236 
24,6,0.98,12071.305913 
24,7,1.08,12060.870571 
24,8,0.97,12068.504573 
24,9,0.99,12076.253485 
24,10,0.98,12073.202246 
24,11,0.98,12070.789864 
24,12,0.97,12075.916721 
24,13,1.00,12074.356193 
24,14,0.97,12074.598988 
24,15,0.98,12067.456830 
24,16,0.97,12074.064853 
24,17,0.98,12074.977766 
24,18,0.97,12074.734957 
24,19,0.98,12072.134271 
24,20,0.97,12076.886588 
24,21,0.97,12065.575232 
24,22,0.96,12072.347851 
24,23,0.97,12074.043813 
24,25,0.98,12078.535233 
24,26,1.04,12060.964241 
24,27,0.98,12065.418458 
24,28,1.07,12063.246677 
24,29,0.98,12069.842002 
24,30,0.98,12070.464727 
24,31,0.98,12073.383496 
24,32,1.04,12058.740787 
24,33,0.99,12063.569809 
24,34,0.98,12075.601021 
24,35,0.98,12071.427247 
24,36,1.05,12054.304403 
24,37,1.00,12078.548191 
24,38,1.05,12056.579478 
24,39,0.99,12069.596164 
24,40,1.08,12044.094900 
24,41,1.05,12059.517369 
0,42,1.10,12049.257128 
0,43,0.98,12009.852014 
0,44,1.08,12053.855944 
0,45,1.08,11969.219647 
0,46,1.07,12060.101889 
0,47,1.10,12066.515958 
0,48,0.99,12070.814128 
0,49,0.98,12065.775649 
0,50,0.98,12071.800973 
0,51,0.97,12066.661444 
0,52,1.05,11980.811512 
0,53,1.08,12057.646315 
0,54,0.98,12063.624743 
0,55,0.98,12071.715224 
4,44,0.98,12075.113743 
4,45,1.04,12056.755388 
4,46,1.04,12061.154815 
4,47,1.06,12062.227308 
4,48,1.04,12056.468124 
4,49,0.97,12072.093822 
4,50,0.97,12070.731629 
4,51,0.97,12062.282230 
4,52,0.98,12068.431807 
4,53,0.97,12072.847851 
4,54,0.98,12068.734195 
4,55,1.04,12059.825769 
24,42,1.01,12012.945012 
24,43,0.97,12070.616779 
24,44,1.04,12059.060449 
24,45,0.98,12035.396477 
24,46,0.99,12033.323908 
24,47,1.00,12066.333297 
24,48,1.04,12057.575295 
24,49,0.97,12073.098676 
24,50,0.97,12077.059852 
24,51,0.98,12068.821518 
24,52,1.04,12060.145488 
24,53,0.98,12068.168240 
24,54,0.97,12067.230490 
24,55,0.98,12074.435505 
16,0,0.97,12072.142361 
16,1,0.98,12076.395968 
16,2,0.97,12077.589393 
16,3,0.99,12074.629742 
16,4,0.97,12073.076830 
16,5,1.05,12062.611773 
16,6,0.97,12076.632367 
16,7,1.08,12060.000159 
16,8,0.97,12079.603530 
16,9,0.98,12072.246723 
16,10,0.96,12071.325326 
16,11,0.97,12077.940827 
16,12,0.96,12075.983101 
16,13,0.98,12058.845724 
16,14,0.97,12080.386042 
16,15,0.97,12077.683323 
16,17,1.04,12062.757972 
16,18,1.07,12062.244269 
16,19,0.98,12079.123218 
16,20,1.03,12059.989663 
16,21,0.98,12073.959651 
16,22,0.97,12080.414396 
16,23,0.98,12074.904922 
16,24,1.05,12068.338830 
16,25,0.97,12074.571470 
16,26,1.04,12063.638477 
16,27,1.04,12019.199943 
16,28,1.04,12057.978026 
16,29,0.98,12075.201159 
16,30,0.97,12076.337679 
16,31,0.98,12070.230995 
16,32,1.07,12046.415261 
16,33,1.04,12043.717251 
16,34,0.98,12073.254031 
16,35,0.97,12075.221394 
16,36,0.99,12078.806542 
16,37,1.05,12063.926083 
16,38,0.98,12075.648780 
16,39,1.05,12058.180612 
16,40,0.98,12046.570735 
16,41,0.98,12068.460105 
15,0,0.98,12061.477027 
15,1,0.97,12063.006762 
15,2,0.98,12075.315287 
15,3,0.99,12073.046083 
15,4,0.97,12069.664901 
15,5,1.09,12058.651188 
15,6,0.98,12070.936262 
15,7,1.05,12061.695883 
15,8,0.97,12071.777513 
15,9,0.98,12070.294078 
15,10,0.97,12068.136710 
15,11,0.97,12071.988653 
15,12,0.97,12072.830051 
15,13,0.99,12070.314297 
15,14,0.97,12070.137182 
15,16,0.97,12079.345955 
15,17,1.05,12061.331666 
15,18,0.98,12065.127549 
15,19,1.04,12060.232687 
15,20,0.98,12072.649626 
15,21,1.04,12061.015921 
15,22,0.97,12076.977268 
15,23,1.07,12038.653092 
15,24,0.98,12072.364032 
15,25,0.97,12072.920670 
15,26,0.99,12075.048182 
15,27,0.99,12073.605212 
15,28,1.00,12057.074138 
15,29,1.04,12061.653888 
15,30,0.97,12065.971224 
15,31,1.04,12056.432621 
15,32,0.99,12076.900351 
15,33,0.99,12068.650915 
15,34,0.97,12071.614107 
15,35,0.98,12072.684416 
15,36,1.06,12022.286526 
15,37,1.00,12069.157887 
15,38,1.05,12050.983691 
15,39,0.98,12069.977864 
15,40,0.98,12071.856791 
15,41,1.04,12063.190938 
16,42,1.00,12079.000919 
16,43,0.98,12076.980506 
16,44,1.04,12066.446449 
16,45,1.04,12063.298377 
16,46,1.06,12062.230539 
16,47,1.00,12078.668051 
16,48,1.05,12054.852924 
16,49,0.97,12078.221826 
16,50,0.97,12074.498631 
16,51,0.97,12076.490688 
16,52,1.04,12048.370663 
16,53,0.97,12080.149495 
16,54,0.97,12075.749965 
16,55,1.06,12027.919131 
13,0,1.07,12019.354716 
13,1,1.00,12020.009136 
13,2,0.99,12059.625549 
13,3,1.02,12066.956468 
13,4,0.99,12069.067324 
13,5,1.08,12056.426166 
13,6,1.00,12069.655197 
13,7,1.10,12049.865641 
13,8,0.99,12064.787365 
13,9,1.00,12061.355893 
13,10,1.00,12071.002587 
13,11,0.99,12066.578193 
13,12,0.98,12068.765728 
13,14,0.98,12073.055792 
13,15,0.98,12072.826815 
13,16,0.98,12067.231299 
13,17,1.06,12059.552890 
13,18,1.00,12070.572295 
13,19,0.99,12067.637100 
13,20,0.99,12053.356709 
13,21,1.06,12051.897954 
13,22,0.99,12068.189261 
13,23,1.06,12059.320388 
13,24,1.00,12064.634652 
13,25,1.00,12074.539907 
13,26,1.00,12067.498058 
13,27,0.99,12068.137519 
13,28,1.00,12071.676395 
13,29,1.09,12050.800694 
13,30,0.99,12071.106120 
13,31,1.05,12043.755096 
13,32,1.00,12062.278192 
13,33,1.00,12071.978946 
13,34,0.99,12059.187995 
13,35,0.99,12071.624623 
13,36,1.06,11974.832873 
13,37,1.08,12053.813197 
13,38,1.00,12065.873436 
13,39,1.09,12048.972639 
13,40,1.00,12070.054692 
13,41,1.06,12057.868261 
15,42,1.05,12060.675969 
15,43,0.98,12074.925966 
15,44,0.99,12070.721114 
15,45,0.99,12065.884750 
15,46,0.99,12065.089571 
15,47,1.05,12056.727145 
15,48,1.04,12055.043305 
15,49,0.97,12065.023310 
15,50,0.98,12072.774224 
15,51,0.98,12072.389112 
15,52,0.98,12073.087348 
15,53,0.97,12074.470305 
15,54,0.97,12077.679274 
15,55,0.98,12073.907050 
13,42,1.07,12052.916384 
13,43,0.99,12065.488763 
13,44,1.00,12048.200638 
13,45,0.98,12072.398820 
13,46,1.08,12059.847567 
13,47,1.08,12052.556729 
13,48,1.07,12032.616600 
13,49,0.99,12068.912077 
13,50,0.99,12072.503996 
13,51,0.99,12067.418837 
13,52,0.99,12062.591579 
13,53,0.97,12039.782742 
13,54,0.98,12049.307902 
13,55,1.05,12026.098814 
11,0,0.99,12066.942727 
11,1,0.98,12014.345474 
11,2,0.99,12074.164393 
11,3,0.99,12067.310517 
11,4,0.98,12068.348532 
11,5,1.08,12054.689976 
11,6,0.98,12073.122141 
11,7,1.05,12053.155898 
11,8,0.97,12068.870032 
11,9,0.98,12067.025983 
11,10,0.98,12076.289105 
11,12,1.04,12057.493783 
11,13,1.05,12057.184695 
11,14,0.98,12066.883721 
11,15,0.97,12021.917464 
11,16,0.97,12075.579166 
11,17,1.07,12030.696838 
11,18,0.99,12074.136878 
11,19,1.06,12055.192548 
11,20,0.98,12073.695843 
11,21,1.07,12054.769836 
11,22,0.97,12076.841248 
11,23,1.07,12057.812572 
11,24,0.98,12029.944851 
11,25,0.97,12075.770202 
11,26,0.98,12070.019108 
11,27,1.06,12061.390618 
11,28,1.05,12026.154210 
11,29,0.98,12071.207229 
11,30,0.98,12070.387894 
11,31,1.05,12034.297396 
11,32,0.99,12070.432376 
11,33,0.99,12043.955594 
11,34,0.98,12065.522704 
11,35,0.97,12071.572043 
11,36,1.00,12067.491590 
11,37,1.00,12076.935166 
11,38,0.98,12074.974528 
11,39,1.05,12055.396655 
