[0] MPI startup(): I_MPI_OFA_TRANSLATION_CACHE variable has been removed from the product, its value is ignored

src,dst,lat(us),bandwidth((Mbytes/sec)
7,51,1.46,5727.987627 
7,52,1.46,5729.129453 
7,53,1.46,5728.949077 
7,54,1.47,5728.154465 
7,55,1.46,5728.387251 
8,0,1.45,5728.428783 
8,1,1.44,5728.992257 
8,2,1.44,5728.791850 
8,3,1.45,5728.829562 
8,4,1.51,5727.416703 
8,5,1.44,5728.420950 
8,6,1.44,5729.236045 
8,7,1.44,5729.495707 
8,9,1.43,5728.808064 
8,10,1.44,5729.248799 
8,11,1.44,5729.593929 
8,12,1.44,5728.983512 
8,13,1.45,5728.391077 
8,14,1.44,5729.189581 
8,15,1.44,5729.253901 
8,16,1.45,5728.326229 
8,17,1.45,5728.226411 
8,18,1.45,5728.562127 
8,19,1.45,5728.971487 
8,20,1.46,5729.000638 
8,21,1.46,5728.958005 
8,22,1.46,5729.237320 
8,23,1.46,5727.496462 
8,24,1.46,5728.771810 
8,25,1.46,5726.580827 
8,26,1.46,5727.682574 
8,27,1.47,5728.059570 
8,28,1.45,5727.283413 
8,29,1.45,5727.198744 
8,30,1.46,5728.227869 
8,31,1.47,5728.468130 
8,32,1.51,5727.269938 
8,33,1.45,5728.104558 
8,34,1.45,5727.542169 
8,35,1.45,5727.433092 
8,36,1.44,5728.546461 
8,37,1.43,5728.849602 
8,38,1.44,5728.320583 
8,39,1.44,5728.277777 
8,40,1.44,5728.451735 
8,41,1.44,5728.390348 
8,42,1.44,5729.317312 
8,43,1.44,5729.654613 
8,44,1.46,5727.736115 
8,45,1.45,5728.166486 
8,46,1.44,5728.877294 
8,47,1.45,5729.027057 
8,48,1.46,5727.260652 
8,49,1.45,5728.863813 
8,50,1.46,5727.863599 
8,51,1.46,5727.813697 
8,52,1.46,5727.602082 
8,53,1.47,5729.093377 
8,54,1.47,5728.383244 
8,55,1.46,5727.115352 
9,0,1.44,5728.145722 
9,1,1.44,5728.528608 
9,2,1.44,5729.654431 
9,3,1.44,5729.407146 
9,4,1.51,5727.553460 
9,5,1.43,5729.799860 
9,6,1.44,5728.854339 
9,7,1.44,5730.245669 
9,8,1.43,5729.107589 
9,10,1.44,5729.314214 
9,11,1.43,5728.654123 
9,12,1.44,5728.793125 
9,13,1.44,5728.264662 
9,14,1.44,5728.520046 
9,15,1.44,5730.088188 
9,16,1.45,5727.621021 
9,17,1.44,5728.716063 
9,18,1.45,5729.261554 
9,19,1.44,5674.937518 
9,20,1.46,5728.799319 
9,21,1.45,5727.670190 
9,22,1.46,5727.427265 
9,23,1.45,5728.514399 
9,24,1.46,5729.118339 
9,25,1.45,5729.390563 
9,26,1.46,5727.442925 
9,27,1.46,5728.161568 
9,28,1.45,5728.566317 
9,29,1.46,5727.774360 
9,30,1.45,5727.747224 
9,31,1.46,5728.529337 
9,32,1.53,5725.716805 
9,33,1.44,5728.870007 
9,34,1.44,5728.099458 
9,35,1.44,5728.937781 
9,36,1.44,5730.108967 
9,37,1.43,5728.385976 
9,38,1.43,5727.957576 
9,39,1.44,5728.731730 
9,40,1.44,5727.934628 
9,41,1.44,5728.681814 
9,42,1.44,5728.812436 
9,43,1.44,5728.688190 
9,44,1.45,5729.093195 
9,45,1.45,5729.842870 
9,46,1.45,5728.787477 
9,47,1.44,5729.029608 
9,48,1.46,5728.892052 
9,49,1.44,5728.849238 
9,50,1.46,5727.540530 
9,51,1.46,5729.398399 
9,52,1.46,5728.023872 
9,53,1.46,5728.782376 
9,54,1.47,5727.338221 
9,55,1.46,5729.056208 
10,0,1.46,5727.895471 
10,1,1.45,5728.569231 
10,2,1.45,5727.901845 
10,3,1.45,5728.831566 
10,4,1.52,5725.589054 
10,5,1.45,5727.911862 
10,6,1.44,5728.750859 
10,7,1.45,5728.919198 
10,8,1.44,5727.394488 
10,9,1.44,5728.682542 
10,11,1.44,5728.445724 
10,12,1.45,5726.618328 
10,13,1.45,5727.792754 
10,14,1.45,5728.085069 
10,15,1.45,5728.728087 
10,16,1.46,5727.846297 
10,17,1.45,5727.258285 
10,18,1.46,5728.114394 
10,19,1.45,5728.175593 
10,20,1.47,5727.574037 
10,21,1.46,5727.847572 
10,22,1.47,5728.171222 
10,23,1.46,5727.408509 
10,24,1.47,5727.444200 
10,25,1.46,5728.145540 
10,26,1.48,5728.164300 
10,27,1.47,5726.726100 
10,28,1.46,5728.326047 
10,29,1.46,5727.549635 
10,30,1.47,5727.769989 
10,31,1.47,5727.715172 
10,32,1.52,5726.683865 
10,33,1.45,5728.818631 
10,34,1.46,5727.808598 
10,35,1.45,5727.612462 
10,36,1.45,5728.083612 
10,37,1.44,5727.182903 
10,38,1.44,5729.101030 
10,39,1.44,5727.703699 
10,40,1.45,5728.002380 
10,41,1.44,5727.236799 
10,42,1.45,5727.505567 
10,43,1.44,5727.800767 
10,44,1.46,5727.210579 
10,45,1.46,5727.680206 
10,46,1.46,5726.798558 
10,47,1.45,5727.976882 
10,48,1.47,5727.789293 
10,49,1.46,5728.472137 
10,50,1.47,5727.574037 
10,51,1.46,5728.199090 
10,52,1.47,5727.453486 
10,53,1.46,5727.938817 
10,54,1.49,5728.035893 
10,55,1.47,5727.599714 
11,0,1.46,5728.084887 
11,1,1.45,5728.554840 
11,2,1.45,5728.533345 
11,3,1.45,5728.837213 
11,4,1.53,5725.791239 
11,5,1.45,5729.011752 
11,6,1.44,5728.527697 
11,7,1.44,5728.829926 
11,8,1.44,5727.809691 
11,9,1.43,5729.248435 
11,10,1.44,5727.350785 
11,12,1.44,5728.943429 
11,13,1.44,5728.648111 
11,14,1.45,5728.413482 
11,15,1.45,5729.008290 
11,16,1.46,5727.024497 
11,17,1.45,5728.406378 
11,18,1.46,5727.963586 
11,19,1.45,5727.892557 
11,20,1.47,5727.293063 
11,21,1.46,5728.762154 
11,22,1.47,5727.503382 
11,23,1.46,5727.751231 
11,24,1.47,5726.032752 
11,25,1.46,5727.628851 
11,26,1.47,5727.625209 
11,27,1.46,5727.951748 
11,28,1.46,5728.455561 
11,29,1.47,5727.714990 
11,30,1.46,5728.008755 
11,31,1.47,5727.038699 
11,32,1.52,5725.235855 
11,33,1.44,5728.695841 
11,34,1.45,5727.364989 
11,35,1.45,5727.502653 
11,36,1.44,5728.750130 
11,37,1.44,5728.287249 
11,38,1.44,5727.984349 
11,39,1.44,5727.939545 
11,40,1.45,5728.049917 
11,41,1.44,5728.818448 
11,42,1.45,5728.195447 
11,43,1.44,5728.864724 
11,44,1.45,5728.391441 
11,45,1.45,5728.673798 
11,46,1.45,5727.746496 
11,47,1.45,5729.878956 
11,48,1.46,5727.174163 
11,49,1.46,5726.963869 
11,50,1.46,5727.467690 
11,51,1.47,5727.830453 
11,52,1.46,5727.224053 
11,53,1.46,5728.347359 
11,54,1.48,5726.929641 
11,55,1.47,5728.023690 
12,0,1.46,5729.181746 
12,1,1.46,5727.701149 
12,2,1.46,5728.551561 
12,3,1.46,5729.094106 
12,4,1.52,5727.227149 
12,5,1.45,5729.161157 
12,6,1.45,5728.769077 
12,7,1.45,5728.579251 
12,8,1.45,5728.662139 
12,9,1.45,5728.033343 
12,10,1.45,5728.230783 
12,11,1.45,5727.677657 
12,13,1.45,5727.833549 
12,14,1.46,5728.443174 
12,15,1.45,5729.682495 
12,16,1.47,5727.882722 
12,17,1.46,5726.910160 
12,18,1.46,5727.674743 
12,19,1.46,5728.537899 
12,20,1.47,5728.390348 
12,21,1.47,5728.344809 
12,22,1.48,5727.393213 
12,23,1.47,5727.213674 
12,24,1.48,5725.238948 
12,25,1.47,5727.167244 
12,26,1.48,5727.720453 
12,27,1.47,5727.434002 
12,28,1.46,5728.290710 
12,29,1.47,5727.810966 
12,30,1.47,5727.534339 
12,31,1.47,5728.055381 
12,32,1.53,5726.431193 
12,33,1.45,5729.407146 
12,34,1.46,5728.125140 
12,35,1.46,5726.147783 
12,36,1.45,5728.222951 
12,37,1.45,5727.768168 
12,38,1.45,5728.836849 
12,39,1.45,5727.898567 
12,40,1.45,5728.247176 
12,41,1.46,5728.100187 
12,42,1.46,5727.532882 
12,43,1.45,5728.675620 
12,44,1.46,5728.082337 
12,45,1.46,5728.403281 
12,46,1.46,5728.236430 
12,47,1.46,5729.215455 
12,48,1.48,5728.296903 
12,49,1.47,5727.762340 
12,50,1.48,5727.365535 
12,51,1.47,5728.197086 
12,52,1.48,5726.842979 
12,53,1.48,5727.192189 
12,54,1.49,5726.823135 
12,55,1.48,5728.562309 
13,0,1.46,5727.557466 
13,1,1.46,5728.309471 
13,2,1.46,5728.822092 
13,3,1.46,5717.661769 
13,4,1.52,5726.467964 
13,5,1.46,5728.275956 
13,6,1.45,5728.356649 
13,7,1.44,5727.725006 
13,8,1.44,5728.115669 
13,9,1.44,5728.847780 
13,10,1.44,5728.574697 
13,11,1.44,5728.227504 
13,12,1.45,5728.899157 
13,14,1.46,5728.728633 
13,15,1.45,5728.430787 
13,16,1.47,5727.727192 
13,17,1.45,5727.263201 
